Model,Accuracy,Precision,Recall,F1,ROC-AUC
Decision Tree,0.6460905349794238,0.35443037974683544,0.4444444444444444,0.39436619718309857,0.5891975308641975
Random Forest,0.691358024691358,0.4117647058823529,0.4444444444444444,0.42748091603053434,0.6187389770723103
SVM,0.6748971193415638,0.3918918918918919,0.4603174603174603,0.4233576642335766,0.6182980599647268
Logistic Regression,0.6172839506172839,0.33695652173913043,0.49206349206349204,0.4,0.605379188712522
Naive Bayes,0.6666666666666666,0.3269230769230769,0.2698412698412698,0.2956521739130435,0.5841269841269842
XGBoost,0.6666666666666666,0.359375,0.36507936507936506,0.36220472440944884,0.6112433862433863
LightGBM,0.7078189300411523,0.42857142857142855,0.38095238095238093,0.40336134453781514,0.622310405643739
